聚类ID|用户问法|提问次数|匹配类型|匹配内容
0b88fb57-3387-4996-9341-6d7ea56ca826多轮意图|充值燃气费|6|多轮意图|chongzhi
56b05d83-9ce5-4630-9d91-bf9de365194d多轮意图|查天气|4|多轮意图|query_weather
c920746a-5fc9-4541-8bc2-755517d453d3问答|为什么燃气报警器一直响！！！|3|问答|为什么燃气报警器一直响
33c484b7-3c65-4d77-9dc1-8a4bde0b87f9多轮其他|01|2|多轮其他|
428bd48f-a54f-465c-9c92-e4da2b43cbe5多轮其他|北京|2|多轮其他|
ce2486dd-c6fc-4af2-b22b-f2acd7e66b26多轮其他|杭州|2|多轮其他|
e26c8be3-75d8-4f31-80de-1a39420243e8多轮意图|明天|2|多轮意图|sys_yes
0b88fb57-3387-4996-9341-6d7ea56ca826澄清|充值燃气|1|澄清|
1015e48c-4aa1-481d-b60b-599c28e89409多轮其他|后天|1|多轮其他|
33c46df3-7fda-4fd0-bad0-0cf054ee7121多轮意图|我我我|1|多轮意图|sys_yes
52e9c1d7-726d-4f8d-a4fb-b84ae2c5253a澄清|廊坊充值燃气|1|澄清|
601f1fc5-2fc4-4070-9b7b-4b97ecd2a1aa澄清|我问一下，我家燃气灶不能用啦，怎么办？卡内燃气不能一次性充到燃气表里？|1|澄清|
622451b6-4160-40d2-a867-2f0206f1fed1多轮其他|一百块|1|多轮其他|
a442ec35-ba7e-42e0-ae98-34f32b081f7b多轮意图|我的燃气不能用了|1|多轮意图|Obstacle_removal
b1802b79-39d9-4be8-9237-58efcf2d32a8多轮其他|100块|1|多轮其他|
b9ab50f9-4c83-4fc5-96f9-6eed64da0081多轮其他|本周六|1|多轮其他|
ca29d524-0486-4177-a703-1a3b4a0af9da多轮其他|哈哈哈哈|1|多轮其他|
e4c97514-796c-4b18-92c1-b76cee918160闲聊|天气如何|1|闲聊|请问今天天气怎样？
fcfcbe31-e4f0-469c-85ad-a1487f2a1423问答|为什么卡内燃气不能一次性充到燃气表里|1|问答|为什么卡内燃气不能一次性充到燃气表里？
54f5d0dc-3d5d-4ba1-b468-b269887969ff未识别|我想移动一下我们家表|3|未识别|
6ca7e2b8-f6bf-4dd5-8778-9f2ffd2bebcb未识别|昨天廊坊天气|2|未识别|
168b8290-fffa-488f-80d8-5c2fe3a4f6e9未识别|gas|1|未识别|
3ce769c7-6199-43d7-b814-25797e3b75e8未识别|人气广告|1|未识别|
524ddbcb-ea61-4c4f-8d44-35ce112d3c40未识别|市分公司表一直在响|1|未识别|
52e9c1d7-726d-4f8d-a4fb-b84ae2c5253a未识别|廊坊燃气听|1|未识别|
54762caa-4e01-4d2e-9e98-85cb8b53a544未识别|我想查余量|1|未识别|
6576b8e9-70cc-445f-a9b7-11dbdd6b98b3未识别|我爱上的合法缴费达拉非没合同号，怎么办|1|未识别|
68d706de-4353-4ebc-87dc-8f76cd764cb7未识别|人气卡。|1|未识别|
8ee071ca-3fa2-4d0b-933f-d0e7d5058037未识别|燃氣過戶|1|未识别|
99afcd39-5f3f-4694-9a64-db5c3f50fc4b未识别|取暖的|1|未识别|
cd0ef4f8-027b-48cc-8cc6-65939dab0562未识别|给123充值一百块|1|未识别|
e9d94c23-27c0-4f38-a08c-75627689a355未识别|测试faq澄清|1|未识别|
f2120c2c-582d-457c-88b9-7aa8a2b72efe未识别|讲出来。|1|未识别|
